Excel Row,Excel Original Product Name,Excel Product ID,Excel Barcode,Website Product Name,Website Product Key / ID,Website Barcode,Match Method,Initial Match Status,Match Status,Match Confidence / Reason
2,OP 日本愛宕柿小蘇打1kg,65040174,4710660880411,OP日本愛宕柿小蘇打(二),61050035,4710660884501,Normalized Name,MATCHED,MATCHED,高 — 正規化後的商品名稱與規格可唯一對應。
3,OP 愛岩柿除菌消臭噴霧-抗病毒EX/400ml,65040175,4710660881074,OP愛岩柿消臭噴霧-抗病毒EX(黃),61030090,4710660885560,Normalized Name,MATCHED,MATCHED,高 — 正規化後的商品名稱與規格可唯一對應。
4,OP 抗菌消臭防螨噴霧-清新海洋400ml,65040179,4710660881081,OP抗菌消臭噴霧-清新海洋,61030274,4710660887595,Normalized Name,MATCHED,MATCHED,高 — 正規化後的商品名稱與規格可唯一對應。
5,OP 茶酚淨洗潔精-清雅茶香1000公克,65040176,4710660881067,茶酚淨洗潔精-清雅茶香(黃),61050067,4710660886574,Normalized Name,MATCHED,MATCHED,高 — 正規化後的商品名稱與規格可唯一對應。
6,OP 茶酚淨洗潔精-檸檬茶萃1000公克,65040177,4710660880374,茶酚淨洗潔精-檸檬茶萃(黃),61050079,4710660886970,Normalized Name,MATCHED,MATCHED,高 — 正規化後的商品名稱與規格可唯一對應。
7,OP 茶酚淨洗潔精補充包-清雅茶香800g,65040178,4710660881098,茶酚淨洗潔精補充包-茶香(黃),61050069,4710660886659,Normalized Name,MATCHED,MATCHED,高 — 正規化後的商品名稱與規格可唯一對應。
8,ＯＰ凝膠型吊掛除濕袋雪松清香120g＊2入,65040171,4710660884235,凝膠型除濕袋-雪松清香,61030278,4710660887601,Normalized Name,MATCHED,MATCHED,高 — 正規化後的商品名稱與規格可唯一對應。
9,AMAZE礦石香氛包－白麝香琥珀淡香水20g＊3包,65040173,4710660884211,AMAZE 礦石香氛包-白麝香琥珀淡香水,61030142,4710660886604,Normalized Name,MATCHED,MATCHED,高 — 正規化後的商品名稱與規格可唯一對應。
10,AMAZE礦石香氛包－雪松中性淡香水20g＊3包,65040181,4710660880022,AMAZE 礦石香氛包-雪松中性淡香水,61030143,4710660886598,Normalized Name,MATCHED,MATCHED,高 — 正規化後的商品名稱與規格可唯一對應。
11,AMAZE礦石香氛包－玫瑰淡香水20公克x3入,65040185,4710660881425,Amaze礦石香氛-玫瑰淡香水,61030158,4710660886895,Normalized Name,MATCHED,MATCHED,高 — 正規化後的商品名稱與規格可唯一對應。
12,AMAZE礦石香氛包－沁藍海洋淡香水20g*3包,65040187,4710660884457,礦石香氛-沁藍海洋淡香水,61030316,4710660887977,Normalized Name,MATCHED,MATCHED,高 — 正規化後的商品名稱與規格可唯一對應。
13,AMAZE礦石香氛包－月光舒眠薰衣草20g＊3包,65040188,4710660884464,礦石香氛-月光舒眠薰衣草,61030321,4710660886987,Normalized Name,MATCHED,MATCHED,高 — 正規化後的商品名稱與規格可唯一對應。
14,AMAZE大地擴香－甜橘玫瑰果90ｍl,65040183,4710660881449,Amaze大地擴香-甜橘玫瑰果,61030152,4710660884624,Normalized Name,MATCHED,MATCHED,高 — 正規化後的商品名稱與規格可唯一對應。
15,AMAZE經典擴香－白麝香琥珀淡香水100ml,65040186,4710660884440,AMAZE經典擴香-白麝香琥珀淡香水,61030315,4710660886932,Normalized Name,MATCHED,MATCHED,高 — 正規化後的商品名稱與規格可唯一對應。
16,AMAZE經典擴香－雪松中性淡香水,65040184,4710660881432,AMAZE經典擴香-雪松中性淡香水,61030162,4710660886925,Normalized Name,MATCHED,MATCHED,高 — 正規化後的商品名稱與規格可唯一對應。
17,AMAZE香氛豆補充包－粉紅甜蜜果香淡香水280ml,65040189,4710660884471,香氛豆-粉紅甜蜜果香淡香水,59020344,4710660888127,Normalized Name,MATCHED,MATCHED,高 — 正規化後的商品名稱與規格可唯一對應。
18,AMAZE香氛豆補充包－鳶尾粉邂逅淡香水280ml,65040190,4710660884488,香氛豆-鳶尾粉邂逅淡香水,59020345,4710660888134,Normalized Name,MATCHED,MATCHED,高 — 正規化後的商品名稱與規格可唯一對應。
